AttributeKey;hilucsLandUse;specificLandUse
BP_VERENTSORGUNG_zweckbestimmung_24004;4_3_3_WasteTreatment;3_51_9_5_StillgelegteDeponie
BP_VERENTSORGUNG_zweckbestimmung_24005;4_3_3_WasteTreatment;3_51_9_6_RekultivierteDeponie
BP_VERENTSORGUNG_zweckbestimmung_26000;4_3_4_OtherUtilities;3_51_10_1_Fernmeldeanlage
BP_VERENTSORGUNG_zweckbestimmung_26001;4_3_4_OtherUtilities;3_51_10_2_Mobilfunkstrecke
BP_VERENTSORGUNG_zweckbestimmung_26002;4_3_4_OtherUtilities;3_51_10_3_Fernmeldekabel
BP_VERENTSORGUNG_zweckbestimmung_99990;4_3_4_OtherUtilities;3_51_13_1_Produktenleitung
BP_VERENTSORGUNG_zweckbestimmung_100010;4_3_4_OtherUtilities;3_51_1_11_Leitungsmast
BP_VERENTSORGUNG__;4_3_Utilities;3_51_VerEntsorgung
BP_VERKEHRSFLAECHEBESONDERERZWECKBESTIMMUNG_zweckbestimmung_1000;4_1_1_RoadTransport;3_53_1_Parkierungsflaeche
BP_VERKEHRSFLAECHEBESONDERERZWECKBESTIMMUNG_zweckbestimmung_1100;4_1_5_OtherTransportNetwork;3_53_2_Fussgaengerbereich
BP_VERKEHRSFLAECHEBESONDERERZWECKBESTIMMUNG_zweckbestimmung_1200;4_1_1_RoadTransport;3_53_3_VerkehrsberuhigterBereich
BP_VERKEHRSFLAECHEBESONDERERZWECKBESTIMMUNG_zweckbestimmung_1300;4_1_5_OtherTransportNetwork;3_53_4_RadFussweg
BP_VERKEHRSFLAECHEBESONDERERZWECKBESTIMMUNG_zweckbestimmung_1400;4_1_5_OtherTransportNetwork;3_53_5_Radweg
BP_VERKEHRSFLAECHEBESONDERERZWECKBESTIMMUNG_zweckbestimmung_1500;4_1_5_OtherTransportNetwork;3_53_6_Fussweg
BP_VERKEHRSFLAECHEBESONDERERZWECKBESTIMMUNG_zweckbestimmung_1550;4_1_5_OtherTransportNetwork;3_53_7_Wanderweg
BP_VERKEHRSFLAECHEBESONDERERZWECKBESTIMMUNG_zweckbestimmung_1580;4_1_1_RoadTransport;3_53_8_Wirtschaftsweg
BP_VERKEHRSFLAECHEBESONDERERZWECKBESTIMMUNG_zweckbestimmung_1600;4_1_5_OtherTransportNetwork;3_53_9_FahrradAbstellplatz
BP_VERKEHRSFLAECHEBESONDERERZWECKBESTIMMUNG_zweckbestimmung_1700;4_1_TransportNetworks;3_53_10_UeberfuehrenderVerkehrsweg
BP_VERKEHRSFLAECHEBESONDERERZWECKBESTIMMUNG_zweckbestimmung_1800;4_1_TransportNetworks;3_53_11_UnterfuehrenderVerkehrsweg
BP_VERKEHRSFLAECHEBESONDERERZWECKBESTIMMUNG_zweckbestimmung_2000;4_1_1_RoadTransport;3_53_12_PRAnlage
BP_VERKEHRSFLAECHEBESONDERERZWECKBESTIMMUNG_zweckbestimmung_2100;4_1_5_OtherTransportNetwork;3_53_13_Platz
BP_VERKEHRSFLAECHEBESONDERERZWECKBESTIMMUNG_zweckbestimmung_2200;4_1_1_RoadTransport;3_53_14_Anschlussflaeche
BP_VERKEHRSFLAECHEBESONDERERZWECKBESTIMMUNG_zweckbestimmung_2300;4_1_1_RoadTransport;3_53_15_LandwirtschaftlicherVerkehr
BP_VERKEHRSFLAECHEBESONDERERZWECKBESTIMMUNG_zweckbestimmung_2400;4_1_1_RoadTransport;3_53_16_Verkehrsgruen
BP_VERKEHRSFLAECHEBESONDERERZWECKBESTIMMUNG_zweckbestimmung_9999;4_1_5_OtherTransportNetwork;3_53_17_Sonstiges
BP_VERKEHRSFLAECHEBESONDERERZWECKBESTIMMUNG__;4_1_TransportNetworks;3_53_VerkehrsflaecheBesondererZweckbestimmung
BP_WALDFLAECHE_zweckbestimmung_1000;6_3_1_LandAreasNotInOtherEconomicUse;3_54_1_Naturwald
BP_WALDFLAECHE_zweckbestimmung_1200;1_2_Forestry;3_54_2_Nutzwald
BP_WALDFLAECHE_zweckbestimmung_1400;3_4_4_OpenAirRecreationalAreas;3_54_3_Erholungswald
BP_WALDFLAECHE_zweckbestimmung_1600;6_3_1_LandAreasNotInOtherEconomicUse;3_54_4_Schutzwald
BP_WALDFLAECHE_zweckbestimmung_1800;1_2_Forestry;3_54_5_FlaecheForstwirtschaft
BP_WALDFLAECHE_zweckbestimmung_9999;6_6_NotKnownUse;3_54_6_Sonstiges
BP_WALDFLAECHE__;1_2_Forestry;3_54_WaldFlaeche
BP_WASSERWIRTSCHAFTSFLAECHE_zweckbestimmung_1000;4_3_2_WaterAndSewageInfrastructure;3_55_1_HochwasserRueckhaltebecken
BP_WASSERWIRTSCHAFTSFLAECHE_zweckbestimmung_1100;4_3_2_WaterAndSewageInfrastructure;3_55_2_Ueberschwemmgebiet
BP_WASSERWIRTSCHAFTSFLAECHE_zweckbestimmung_1200;4_3_2_WaterAndSewageInfrastructure;3_55_3_Versickerungsflaeche
BP_WASSERWIRTSCHAFTSFLAECHE_zweckbestimmung_1300;4_3_2_WaterAndSewageInfrastructure;3_55_4_Entwaesserungsgraben
BP_WASSERWIRTSCHAFTSFLAECHE_zweckbestimmung_1400;4_3_2_WaterAndSewageInfrastructure;3_55_5_Deich
BP_WASSERWIRTSCHAFTSFLAECHE_zweckbestimmung_9999;4_3_2_WaterAndSewageInfrastructure;3_55_6_Sonstiges
BP_WASSERWIRTSCHAFTSFLAECHE__;4_3_2_WaterAndSewageInfrastructure;3_55_WasserwirtschaftsFlaeche
